Organisation;Number of project
3883;ENAGAS, S.A.;1
3884;ENAIR ENERGY SL;1
3885;ENAMINE LIMITED LIABILITY COMPANY,RESEARCH AND PRODUCTION ENTERPRISE;1
3886;ENAMO GMBH;1
3887;ENANTIS S.R.O;1
3888;ENAV SPA;6
3889;ENBIO EPE;1
3890;ENBW ENERGIE BADEN-WURTTEMBERG AG;1
3891;ENC POWER LDA;1
3892;ENCO SRL;3
3893;ENCORE LAB SL;1
3894;ENDECO TECHNOLOGIES LIMITED;1
3895;ENDESA DISTRIBUCION ELECTRICA S.L;3
3896;ENDESA ENERGIA S.A.;2
3897;ENDESA GENERACION SA;1
3898;ENDESA SA;3
3899;ENDOKRINOLOGICKY USTAV;1
3900;ENDONOV;1
3901;ENEL DISTRIBUZIONE S.P.A.;2
3902;ENEL ENERGIA SPA;1
3903;ENEL GREEN POWER;3
3904;ENEL INGEGNERIA E RICERCA SPA;3
3905;ENERBEE;1
3906;ENERBYTE SMART ENERGY SOLUTIONS SL;1
3907;ENERCOOP;2
3908;ENERCOUTIM - ASSOCIACAO EMPRESARIALDE ENERGIA SOLAR DE ALCOUTIM;1
3909;ENERDATA SAS;1
3910;ENERGA OPERATOR SA;1
3911;ENERGEA INGENIERIA EN EFICIENCIA ENERGETICA SL;1
3912;ENERGEIAKO GRAFEIO KYPRION POLITON (CYPRUS ENERGY AGENCY);3
3913;ENERGESIS GROUP SL;1
3914;ENERGETICKE CENTRUM BRATISLAVA;2
3915;ENERGETIKA PROJEKT DOO KOMUNALNO PODJETJE;1
3916;ENERGETSKI INSTITUT HRVOJE POZAR;9
3917;ENERGIA-DA SRL;1
3918;ENERGIA MEDITERRANEA SRL;1
3919;ENERGIA PROPRIA SA;1
3920;ENERGIA TERRITORIO RISORSE AMBIENTALI - ETRA SPA;1
3921;ENERGIAKLUB SZAKPOLITIKAI INTEZET MODSZERTANI KOZPONT EGYESULET;1
3922;ENERGICA MOTOR COMPANY SRL;1
3923;ENERGIE- UND WASSERVERSORGUNG BONN/RHEIN-SIEG GMBH;1
3924;ENERGIE & UMWELTZENTRUM ALLGAU GEMEINNUTZIGE GMBH;1
3925;ENERGIE AGENTUR STEIERMARK GEMEINNUTZIGE GMBH;2
3926;ENERGIEINSTITUT AN DER JOHANNES KEPLER UNIVERSITAT LINZ VEREIN;3
3927;ENERGIES 2050;2
3928;ENERGIESTRO SAS;1
3929;ENERGIKONTOR NORR AB;1
3930;ENERGIKONTOR SYDOST AB;3
3931;ENERGINET.DK;3
3932;ENERGINVEST;1
3933;ENERGISTYRELSEN;6
3934;ENERGOCHEMICA TRADING AS;1
3935;ENERGON ENERJI VERIMLILIGI DANISMANLIGI HIZMETI VE TICARET LIMITED SIRKETI;1
3936;ENERGY ACTION LIMITED;1
3937;ENERGY AGENCY OF PLOVDIV ASSOCIATION;2
3938;ENERGY CHANGES PROJEKTENTWICKLUNG GMBH;1
3939;ENERGY CITIES/ENERGIE-CITES ASSOCIATION;3
3940;ENERGY CONSULTING NETWORK APS;3
3941;ENERGY EFFICIENCY CENTER - ENEFFECTFOUNDATION;1
3942;Energy Experts International;1
3943;ENERGY MATERIALS INDUSTRIAL RESEARCH INITIATIVE AISBL;1
3944;ENERGY MATTERS BV;1
3945;ENERGY PARTNERS SRL;1
3946;ENERGY SYSTEMS ANALYSIS ASSOCIATES - ESA2 GMBH;1
3947;ENERGY TEAM SPA;1
3948;ENERGY4ALL LTD;1
3949;ENERGYNTEGRATION SRL;1
3950;ENERGYPRO LIMITED;3
3951;ENERGYPULSE SYSTEMS, LDA;2
3952;ENERIT LIMITED;1
3953;ENERKITE GMBH;2
3954;ENERMAP LIMITED;1
3955;ENERMETER SISTEMAS DE MEDICAO LDA;1
3956;EnerOcean S.L.;1
3957;ENERPLAN;1
3958;ENERRAY SPA;1
3959;ENERTECH SARL;1
3960;ENERTECH SOLUTION SRL;1
3961;ENERTIME SA;2
3962;ENERVALIS;2
3963;ENESA a.s.;1
3964;ENEVATE BV;1
3965;ENEVO OY;1
3966;ENEXIO GERMANY GMBH;1
3967;ENGAGE - KEY TECHNOLOGY VENTURES AG;1
3968;ENGELLI KADIN DERNEGI;1
3969;ENGEMAP ENGENHARIA, MAPEAMENTO E AEROLEVANTAMENTO LTDA;2
3970;ENGIE;1
3971;ENGIE SERVICES NEDERLAND NV;1
3972;ENGINE DEVELOPMENTS LTD;1
3973;ENGINE POWER COMPONENTS GROUP EUROPE SL;1
3974;ENGINEERING - INGEGNERIA INFORMATICA SPA;20
3975;Engineering Center Steyr G.m.b.H. & Co KG;1
3976;ENGINEERING INTERNATIONAL BELGIUM SA;1
3977;ENGINEERING SUPPORT AND INTELLECTUAL SOLUTIONS GMBH (ESIS GMBH);1
3978;ENGINEERING TECHNOLOGY SOLUTIONS E.E.;1
3979;ENGINSOFT SPA;4
3980;ENGYS SRL;1
3981;ENIDE SOLUTIONS .S.L;1
3982;ENISYST GMBH;1
3983;ENITECH ENERGIETECHNIK - ELEKTRONIK GMBH;1
3984;ENKI OPS;1
3985;ENLABS SRL;1
3986;ENLYTE LTD;1
3987;ENOGIA;1
3988;ENOLOGICA VASON SPA;1
3989;ENOSIS MASTICHOPARAGOGON CHIOU;2
3990;ENOVA SF;1
3991;ENOVEO SARL;1
3992;ENQUIRYA BV;1
3993;ENRY S PLEX SL;2
3994;ENSTO ENERVENT OY;1
3995;ENSYGNIA LIMITED;1
3996;Ente Ospedaliero Cantonale;1
3997;ENTE PER LA ZONA INDUSTRIALE DI TRIESTE;1
3998;ENTE PER LO SVILUPPO DELL'IRRIGAZIONE NELLA PUGLIA BASILICATA IRPINA;1
3999;ENTE VASCO DE LA ENERGIA;3
4000;Entec Spa;1
4001;ENTECH SCIENTIFIC BV;1
4002;Entecnia Consulting, S.L.U.;1
4003;ENTEGRIS CLEANING PROCESS (ECP) SAS;1
4004;ENTENTE POUR LA FORÊT MÉDITERRANÉENNE;2
4005;ENTER S.R.L.;1
4006;ENTERPRISE IRELAND;7
4007;ENTERPRISING WOMEN LIMITED LBG;1
4008;ENTEX RUST & MITSCHKE GMBH;1
4009;ENTIDAD PUBLICA EMPRESARIAL RED.ES;1
4010;ENTIDAD REGIONAL DE SANEAMIENTO Y DEPURACION DE AGUAS RESIDUALES DE LA REGION DE MURCIA;1
4011;ENTRECHEM SL;1
4012;ENTREPRISE RHONE-ALPES INTERNATIONAL;1
4013;ENTREPRISES DELENS JACQUES SA;1
4014;ENTREPRISES PINTO SAS;1
4015;Entwicklungszentrum fuer Schiffstechnik und Transportsysteme e.V.;1
4016;ENUSA INDUSTRIAS AVANZADAS SA;1
4017;ENVAC AB;1
4018;ENVI-PLAN INGENIEURGESELLSCHAFT MBH;1
4019;ENVIGO CRS LIMITED;1
4020;ENVIKO LTD;1
4021;ENVIRO-COOL UK LIMITED;1
4022;ENVIROINVEST KORNYEZETVEDELMI ES BIOTECHNOLOGIAI ZARTKORUEN MUKODO RESZVENYTARASASAG;1
4023;ENVIRONICS OY;1
4024;ENVIRONMENT AGENCY;1
4025;ENVIRONMENT SYSTEMS LIMITED;1
4026;ENVIRONMENTAL INSTITUTE s.r.o.;1
4027;ENVIRONMENTAL LABORATORY SERVICES LIMITED;1
4028;ENVIRONMENTAL MONITORING SOLUTIONS LIMITED;1
4029;ENVIRONMENTAL PROTECTION AGENCY OF IRELAND;3
4030;ENVIRONMENTAL RESOURCES MANAGEMENT LIMITED;1
4031;ENVIRONMENTAL SUSTAINABILITY ASSOCIATES LIMITED;1
4032;ENVIRONMENTAL SYSTEMS GMBH;1
4033;ENVIRONMENTAL TECHNOLOGY EVOLUTION LTD;1
4034;ENVIROS S.R.O.;6
4035;ENVIROTECH INNOVATIVE PRODUCTS LTD;1
4036;ENVISA SAS;1
4037;ENVISENS TECHNOLOGIES SRL;1
4038;ENVISION ENERGY (DENMARK) APS;1
4039;ENVITEL TECNOLOGIA Y CONTROL S.A.;1
4040;ENXENIO SL;1
4041;Enza Biotech AB;1
4042;ENZA ZADEN CENTRO DE INVESTIGACION SOCIEDAD LIMITADA;1
4043;ENZA ZADEN RESEARCH & DEVELOPMENT BV;1
4044;ENZYMICALS AG;3
4045;EOC BELGIUM NV;1
4046;EODISS SYSTEMS SL;1
4047;EOMAP GMBH & CO KG;2
4048;EOTVOS JOZSEF FOISKOLA;1
4049;EOTVOS LORAND TUDOMANYEGYETEM;7
4050;EOXPLORE UG (HAFTUNGSBESCHRANKT) GMBH;1
4051;EP ESTRADAS DE PORTUGAL SA;2
4052;EP TENDER;1
4053;EPAL-EMPRESA PORTUGUESA DAS ÁGUAS LIVRES, SA;1
4054;EPCOS AG;1
4055;EPEA NEDERLAND BV;1
4056;EPHORATE OF ANTIQUITIES OF HERAKLION;1
4057;EPHORATE OF ANTIQUITIES OF RETHYMNO;1
4058;EPI-C SRL;1
4059;EPI INTERACTIVE UG & CO KG;1
4060;EPIA SOLARPOWER EUROPE AISBL;3
4061;EPIC POWER CONVERTERS SL;2
4062;EPICONCEPT;1
4063;EPIGAN NV;1
4064;EPIGEM LIMITED;1
4065;EPIGENETIKS GENETIK BIYOINFORMATIK YAZILIM AS;1
4066;EPIGENOMICS AG;1
4067;EPIMELITIRIO IOANNINON;1
4068;EPIMELITIRIO KAVALAS;1
4069;Epiontis GmbH;1
4070;EPISCAN LTD;1
4071;EPITESSERA ARCHITECTS LTD;1
4072;EPIVALENCE LTD;1
4073;EPROINN SRL;1
4074;EPSILON BULGARIA OOD;1
4075;EPSILON INTERNASIONAL ANONYMI ETAIREIA MELETON KAI SYMVOULON (EPSILON INTERNATIONAL SA);2
4076;EPSILON MALTA LIMITED;2
4077;EPSILON S.R.L.;1
4078;EPTES SARL;1
4079;EPYXS GMBH;1
4080;EQS - SERVICIOS DE ENGENHARIA QUALIDADE E SEGURANCA LDA;1
4081;EQUIMER SARL;1
4082;EQUINE REGISTER LIMITED;1
4083;EQUIPMAKE LTD;1
4084;EQUIPOS NUCLEARES SA;1
4085;Era7 Information Technologies SL;1
4086;ERAMET RESEARCH;1
4087;ERAMET SA;1
4088;ERASMUS STUDENT NETWORK ITALIA;1
4089;ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM;37
4090;ERASMUS UNIVERSITEIT ROTTERDAM;17
4091;ERCIYES TEKNOPARK AS;1
4092;ERCIYES UNIVERSITESI;1
4093;ERCOFTAC EUROPEAN RESEARCH COMMUNITY ON FLOW TURBULENCE AND COMBUSTION;1
4094;ERDBAR GMBH;1
4095;ERDMANN DANIEL;1
4096;ERDYN CONSULTANTS;1
4097;ERFTVERBAND;1
4098;ERICSSON AB;9
4099;ERICSSON ESPANA SA;1
4100;ERICSSON GMBH;1
4101;ERICSSON MAGYARORSZAG KOMMUNIKACIOS RENDSZEREK K.F.T.;1
4102;ERICSSON TELECOMUNICAZIONI;5
4103;ERIK MOLLER ARKITEKTER AS;1
4104;ERNST-MORITZ-ARNDT-UNIVERSITÄT GREIFSWALD;3
4105;ERNST & YOUNG ABOGADOS SLP;1
4106;ERNST & YOUNG ACCOUNTANTS LLP;1
4107;ERNST & YOUNG FINANCIAL BUSINESS ADVISORS SPA;1
4108;ERNST & YOUNG GMBH WIRTSCHAFTSPRUFUNGSGESELLSCHAFT;1
4109;ERPC EUROPEAN RESEARCH PROGRAMME CONSULTING GMBH;1
4110;ERPLAN SRL;1
4111;ERTE-ETUDES ET REALISATIONS DE TRAVAUX ELECTRONIQUES SAS;1
4112;ERTEX SOLARTECHNIK GMBH;1
4113;EryDel S.p.A.;1
4114;ES-GEOTHERMIE;2
4115;ESAVE CORPORATION LIMITED;1
4116;ESB NETWORKS LTD;2
4117;ESCAN SL;3
4118;ESCIENCIA EVENTOS CIENTIFICOS SL;1
4119;ESCO ITALIA SRL;1
4120;ESCOLA NACIONAL DE SAUDE PUBLICA;2
4121;ESCRYPT GMBH EMBEDDED SECURITY;1
4122;ESDA TECHNOLOGIE GMBH;1
4123;ESE ENGINEERING SERVICES FOR ENERGY S.R.L.;1
4124;ESI GROUP;5
4125;ESI MOBILE SOLUTIONS SL - GENAKER;1
4126;ESI SOFTWARE GERMANY GMBH;3
4127;ESKA GRAPHIC BOARD BV;1
4128;ESKISEHIR SANAYI ODASI;1
4129;ESMART SYSTEMS AS;1
4130;ESOTERIX SYSTEM LTD;1
4131;ESPEN-LA SOCIETE EUROPEENNE DE NUTRITION CLINIQUE ET METABOLISME ASBL;1
4132;ESPINA & DELFIN SL;1
4133;ESR TECHNOLOGY LIMITED;1
4134;ESRI ESPANA SOLUCIONES GEOESPACIALES SL;1
4135;ESRI ITALIA SPA;1
4136;ESRI RWANDA;1
4137;ESS ENGINEERING SOFTWARE STEYR GMBH;1
4138;ESSILOR INTERNATIONAL SA;1
4139;ESSRG Kft.;3
4140;ESTABANELL Y PAHISA ENERGIA SA;1
4141;ESTEREL TECHNOLOGIES SA;1
4142;ESTERLINE BELGIUM;1
4143;ESTEYCO SAP;3
4144;ESTROTECH OU;1
4145;ESTUDIOS GIS S.L.;1
4146;ESZTERHAZY KAROLY FOISKOL;1
4147;ETA SRL;1
4148;ETABLISSEMENT FRANCAIS DU SANG;4
4149;ETABLISSEMENT PUBLIC DU PALAIS DE LA DECOUVERTE ET DE LA CITE DES SCIENCES ET DE L'INDUSTRIE;1
4150;ETABLISSEMENTEN FRANZ COLRUYT NV;1
4151;ETABLISSEMENTS DELHAIZE FRERES ET CIE LE LION GROUPE DELHAIZE SA;1
4152;ETABLISSEMENTS GEORGES PERNOUD;1
4153;ETAIREIA ANAPTYXIS KAI TOURISTIKIS PROVOLIS ATHINON - ANAPTYXIAKI ANONYMOS ETAIREIA ORGANISMOU TOPIKIS AFTODIOIKISIS;2
4154;ETAIREIA AXIOPOIISEOS KAI DIACHEIRISEOS TIS PERIOUSIAS TOU ETHNIKOU METSOVIOU POLYTECHNEIOU (E.M.P.);1
4155;ETAIREIA DIOIKISEOS EPICHEIRISEON KAI ERGON AE;1
4156;ETAIREIA ELEYTHEROY LOGISMIKOY LOGISMIKOY ANOIKTOY KODIKA;2
4157;ETAIREIA YDREYSEOS KAI APOCHETEFSEOS PROTEYOYSIS ANONIMI ETAIREIA;2
4158;ETAIRIA GEOGOLOGIKON-GEOFYSIKON EREVNON KL. DIMITRIADIS KAI SIA EE;1
4159;ETAIRIA TOURISTIKIS ANAPTIXIS KAI PROVOLIS PERIFERIAS LEMESOU LIMITED;1
4160;ETAM ANONYMH ETAIREIA SYMBOYLEYTIKON KAI MELETHTIKON YPIRESION;1
4161;ETELA-KARJALAN SOSIAALI- JA TERVEYDENHUOLLON KUNTAYHTYMA;1
4162;ETEM BULGARIA AD;1
4163;ETHERNITY NETWORKS LTD;1
4164;ETHNIKO IDRYMA EREVNON;15
4165;ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON;41
4166;ETHNIKO KENTRO DIMOSIAS DIOIKISIS & AFTODIOIKISIS;1
4167;ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS;66
4168;ETHNIKO KENTRO KOINONIKON EREVNON;1
4169;ETHNIKO KENTRO VIOSIMIS KAI AEIFOROU ANAPTYXIS;1
4170;ETHNIKOS ORGANISMOS PISTOPIISIS PROSONTON & EPAGGELMATIKOU PROSANATOLISMOU;1
4171;ETIC-EMBEDDED TECHNOLOGIES INNOVATION CENTER S. COOP.;1
4172;ETICAS RESEARCH AND CONSULTING SL;1
4173;ETIFOR SRL;1
4174;ETME PEPPAS KAI SYNEREATES EE;1
4175;ETON GROUP SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
4176;ETRA INVESTIGACION Y DESARROLLO SA;3
4177;ETRA PROIZVODNJA, TRGOVINA STORITVE DOO;1
4178;ETREL SVETOVANJE IN DRUGE STORITVE DOO;2
4179;ETSS, GOTTSCHALK & CO. KOLLEKTIVGESELLSCHAFT;1
4180;ETT SPA;2
4181;ETVENTURE GMBH;2
4182;ETXE-TAR, S.A.;1
4183;EU Edge Informatikai Korlatolt Felelossegu Tarsasag;1
4184;EUCLID NETWORK LIMITED BY GUARANTEE;3
4185;EUMETNET GROUPEMENT D INTERET ECONOMIQUE;1
4186;EUN PARTNERSHIP AISBL;2
4187;EUNICE LABORATORIES AE;1
4188;EURA-CONSULT AG;1
4189;EURA INNOVATION GMBH;1
4190;EURACTIV.COM PLC;1
4191;EURAM LIMITED;3
4192;EURATECHNOLOGIES;1
4193;EUREC EESV;3
4194;EURECOM;10
4195;EUREK SRL;1
4196;EUREKA COMUNICAZIONE TELEMATICA SRL;1
4197;EURELATIONS AG;1
4198;EURENCO Bofors AB;1
4199;EURESCOM-EUROPEAN INSTITUTE FOR RESEARCH AND STRATEGIC STUDIES IN TELECOMMUNICATIONS GMBH;8
4200;EUREVA SAS;1
4201;EUREXPLOIT LTD;1
4202;EURICE EUROPEAN RESEARCH AND PROJECT OFFICE GMBH;13
4203;EURISCO APS;1
4204;EURISY;1
4205;EURNEX e. V.;2
4206;EURO-ARGO ERIC;3
4207;Euro-Mediterranean Seismological Centre;5
4208;EURO CLUB;1
4209;EURO PROJECT CONSULT SARL;1
4210;EUROATOMIZADO SA;1
4211;EUROBOTICS AISBL;1
4212;EUROCHAMBRES-ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE EUROPEENNES ASSOCIATION INTERNATIONALE;1
4213;EUROCITIES ASBL;7
4214;EUROCLOUD EUROPE ASBL;1
4215;EUROCOLT RESOURCES;1
4216;EUROCONTROL - EUROPEAN ORGANISATION FOR THE SAFETY OF AIR NAVIGATION;9
4217;EUROCRIME - RESEARCH, TRAINING AND CONSULTING SRL;1
4218;Eurodocs AB;1
4219;EUROENERGY BIOGAS WEST SOCIETE ANONYME PRODUCTION AND TRADING OF ELECTRICAL ENERGY;1
4220;EUROFINS ANALYTIK GMBH;1
4221;EUROFINS MEDIGENOMIX GMBH;1
4222;EUROGAN SL;1
4223;EUROGEO VZW;1
4224;EuroGeoSurveys - EGS;3
4225;EUROGOOS AISBL;4
4226;EUROGRANT GMBH;2
4227;EUROHEALTHNET ASBL;1
4228;EUROHEAT & POWER;2
4229;EUROHELP CONSULTING SL;2
4230;EUROKLEIS S.R.L.;1
4231;EUROLCDS SIA;1
4232;EUROMECH EV;1
4233;EUROMEDITERRANEAN IRRIGATORS COMMUNITY;1
4234;EUROMOBILITA SRO;1
4235;Euromontana;2
4236;EURONOVIA;2
4237;EUROPA-UNIVERSITAT FLENSBURG;1
4238;EUROPA MEDIA SZOLGALTATO NON PROFITKOZHASZNU KFT;4
4239;EUROPAEISCHES INSTITUT FUER FORSCHUNG UND ENTWICKLUNG VON TRANSPLANTATIONSSTRATEGIEN GMBH;1
4240;EUROPAISHE VEREINIGUNG FUR WASSERWIRTSVHAFT EV;1
4241;Europas Maritime Udviklingscenter;2
4242;EUROPE FOR BUSINESS LTD;2
4243;EUROPE UNLIMITED S.A.;5
4244;EUROPEAN & DEVELOPING COUNTRIES CLINICAL TRIALS PARTNERSHIP;1
4245;EUROPEAN AIDS TREATMENT GROUP EV;2
4246;EUROPEAN ALTERNATIVES BERLIN E V;1
4247;EUROPEAN ALTERNATIVES LIMITED LBG;1
4248;EUROPEAN ALUMINIUM ASSOCIATION AISBL;1
4249;European American Chamber of Commerce - New Jersey;1
4250;EUROPEAN AND MEDITERRANEAN PLANT PROTECTION ORGANISATION;1
4251;EUROPEAN APPAREL AND TEXTILE CONFEDERATION;3
4252;EUROPEAN AQUACULTURE SOCIETY;1
4253;European Aquaculture Technology and Innovation Platform;1
4254;EUROPEAN ASSOCIATION FOR QUALITY ASSURANCE IN HIGHER EDUCATION AISBL;1
4255;European Association for the Study of Obesity;1
4256;EUROPEAN ASSOCIATION OF REMOTE SENSING COMPANIES;2
4257;EUROPEAN ASSOCIATION OF SERVICE PROVIDERS FOR PERSONS WITH DISABILITIES AISBL*ASSOCIATION EUROPEENNE DES PROMOTEURS DE SERVICES POUR DES PERSONNES AVEC UN HANDICAP;1
4258;EUROPEAN BIOGAS ASSOCIATION;2
4259;EUROPEAN BIOMASS INDUSTRY ASSOCIATION;2
4260;European Business and Innovation Centre Network;10
4261;European Business Angel Network;2
4262;EUROPEAN CANCER PATIENT COALITION;1
4263;EUROPEAN CAR-TRANSPORT GROUP OF INTEREST;1
4264;EUROPEAN CEMENT RESEARCH ACADEMY GMBH;1
4265;EUROPEAN CENTER FOR INFORMATION AND COMMUNICATION TECHNOLOGIES GMBH;3
4266;EUROPEAN CENTRE FOR DEVELOPMENT POLICY MANAGEMENT;1
4267;EUROPEAN CENTRE FOR MEDIUM-RANGE WEATHER FORECASTS;15
4268;EUROPEAN CENTRE FOR WOMEN AND TECHNOLOGY (ECWT) FORENING;1
4269;European Chamber of Commerce in China;2
4270;EUROPEAN CHAMBER OF COMMERCE IN KOREA;1
4271;European Chamber of Commerce Taiwan;1
4272;EUROPEAN COMPLIANCE ORGANIZATIONS FOR BATTERIES;1
4273;EUROPEAN CONFEDERATION OF YOUNG ENTREPRENEURS AISBL;2
4274;EUROPEAN CONFERENCE FOR AERO-SPACE SCIENCES;1
4275;European Conference of Transport Research Institutes;1
4276;EUROPEAN CONSTRUCTION, BUILT ENVIRONMENT AND ENERGY EFFICIENT BUILDINGS TECHNOLOGY PLATFORM;1
4277;EUROPEAN COPD COALITION;1
4278;EUROPEAN COPPER INSTITUTE;2
4279;EUROPEAN COUNCIL FOR AN ENERGY EFFICIENT ECONOMY FORENING - ECEEE;2
4280;European Council for Maritime Applied R&D Association;1
4281;EUROPEAN CRIME PREVENTION NETWORK;1
4282;EUROPEAN CROWDFUNFIND NETWORK;6
4283;EUROPEAN CYCLISTS' FEDERATION ASBL;1
4284;EUROPEAN CYSTIC FIBROSIS SOCIETY;1
4285;EUROPEAN DESALINATION SOCIETY;3
4286;European Distributed Energy Resources Laboratories e.V.;2
4287;EUROPEAN DISTRIBUTION SYSTEMS OPERATORS FOR SMART GRIDS AISBL;1
4288;EUROPEAN DYNAMICS ADVANCED SYSTEMS OF TELECOMMUNICATIONS INFORMATICS AND TELEMATICS SA;2
4289;EUROPEAN DYNAMICS BELGIUM SA;1
4290;EUROPEAN DYNAMICS LUXEMBOURG SA;1
4291;EUROPEAN ELECTRONIC MESSAGING ASSOCIATION AISBL;2
4292;EUROPEAN ENVIRONMENTAL CITIZENS ORGANISATION FOR STANDARDISATION;2
4293;EUROPEAN FACTORIES OF THE FUTURE RESEARCH ASSOCIATION AISBL;1
4294;EUROPEAN FEDERATION FOR WELDING JOINING AND CUTTING;3
4295;EUROPEAN FEDERATION OF ASTHMA &ALLERGY ASSOCIATIONS IDEELL FORENING;1
4296;EUROPEAN FEDERATION OF RAILWAYS TRACKWORKS CONTRACTORS;1
4297;EUROPEAN FOOD INFORMATION COUNCIL AISBL;4
4298;EUROPEAN FOOD INFORMATION RESSOURCE AISBL;2
4299;EUROPEAN FOREST INSTITUTE;3
4300;EUROPEAN FORUM OF FARM ANIMAL BREEDERS;2
4301;EUROPEAN FOUNDATION FOR THE CARE OF NEWBORN INFANTS;1
4302;EUROPEAN FRESH PRODUCE ASSOCIATION AISBL;3
4303;EUROPEAN FUTURE INNOVATION SYSTEM CENTRE;1
4304;EUROPEAN GRAVITATIONAL OBSERVATORY(EGO) (OSSERVATORIO GRAVITAZIO NALEEUROPEO);1
4305;EUROPEAN GREEN CITIES APS;1
4306;EUROPEAN HEALTH MANAGEMENT ASSOCIATION LIMITED;2
4307;EUROPEAN HEART NETWORK AISBL;1
4308;EUROPEAN HEAT PUMP ASSOCIATION;1
4309;EUROPEAN HEAT PUMP ASSOCIATION GEIE;1
4310;EUROPEAN INSTITUTE FOR HEALTH RECORDS;4
4311;EUROPEAN INSTITUTE FOR PARTICIPATORY MEDIA EV;2
4312;EUROPEAN INSTITUTE FOUNDATION;1
4313;EUROPEAN INTEGRATED PROJECT;4
4314;EUROPEAN LANDOWNERS ORGANIZATION;1
4315;EUROPEAN MARINE ENERGY CENTRE LTD;2
4316;EUROPEAN MATERIALS RESEARCH SOCIETY;3
4317;EUROPEAN MEDIA LABORATORY GMBH;1
4318;European Membrane House;2
4319;EUROPEAN MOLECULAR BIOLOGY LABORATORY;54
4320;EUROPEAN MULTIMEDIA FORUM LTD;1
4321;EUROPEAN NETWORK FOR SMOKING PREVENTION;3
4322;EUROPEAN NETWORK OF LIVING LABS;1
4323;EUROPEAN NETWORK OF RESEARCH ETHICS COMMITTEES (EUREC) EV;1
4324;EUROPEAN NUCLEAR SAFETY TRAINING AND TUTORING INSTITUTE;1
4325;EUROPEAN NUCLEAR SOCIETY;1
4326;European Office of Cyprus;1
4327;EUROPEAN ORGANISATION FOR RESEARCH AND TREATMENT OF CANCER AISBL;1
4328;EUROPEAN ORGANISATION FOR SECURITY SCRL;2
4329;EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH;37
4330;EUROPEAN PASSENGERS' FEDERATION IVZW;2
4331;EUROPEAN PEACEBUILDING LIAISON OFFICE;1
4332;EUROPEAN PHOTONICS INDUSTRY CONSORTIUM;3
4333;EUROPEAN PHYSICAL SOCIETY ASSOCIATION;2
4334;EUROPEAN PLASTICS CONVERTERS;1
4335;EUROPEAN POLICE OFFICE EUROPOL;1
4336;EUROPEAN POWDER AND PROCESS TECHNOLOGY BVBA;1
4337;EUROPEAN PUBLIC HEALTH ALLIANCE;1
4338;European Public Health Association;1
4339;EUROPEAN QUALITY ASSURANCE NETWORK FOR INFORMATICS EDUCATION EV;1
4340;EUROPEAN QUALITY INSTITUTE SRL;1
4341;EUROPEAN RADIATION DOSIMETRY GROUPEV;1
4342;EUROPEAN REGIONAL AND LOCAL HEALTH AUTHORITIES ASBL;1
4343;European Regions Research and Innovation Network;4
4344;EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM FOR THE SURVEY OF HEALTH, AGEING AND RETIREMENT IN EUROPE;3
4345;European Research Institute of Catalysis A.I.S.B.L.;1
4346;EUROPEAN RESEARCH SERVICES GMBH;5
4347;European Respiratory Society;3
4348;EUROPEAN ROAD TRANSPORT TELEMATICSIMPLEMENTATION COORDINATION ORGANISATION - INTELLIGENT TRANSPORT SYSTEMS & SERVICES EUROPE;8
4349;EUROPEAN SATELLITE SERVICES PROVIDER SAS;2
4350;European Social Survey European Research Infrastructure Consortium;2
4351;European Solar Thermal Industry Federation;1
4352;EUROPEAN SPACE AGENCY;3
4353;EUROPEAN SPALLATION SOURCE ESS AB;5
4354;EUROPEAN SUSTAINABLE ENERGY INNOVATION ALLIANCE - ESEIA, VEREIN FUR FORDERUNG DER EUROPAIESCHEN INNOVATION FUR ERNEUERBARE ENERGIEN;3
4355;EUROPEAN TECHNOLOGY PLATFORM FOR HIGH PERFORMANCE COMPUTING;1
4356;EUROPEAN TECHNOLOGY PLATFORM ON SUSTAINABLE MINERAL RESOURCES;1
4357;EUROPEAN THERMODYNAMICS LIMITED;3
4358;EUROPEAN TRANSPORT SAFETY COUNCIL;1
4359;EUROPEAN TURBOMACHINERY SOCIETY;1
4360;European Underground Research Infrastructure for Disposal of Nuclear Waste in Clay Environment;1
4361;EUROPEAN UNION GERIATRIC MEDICINE SOCIETY AISBL;1
4362;EUROPEAN UNION OF THE DEAF AISBL;1
4363;EUROPEAN UNION ROAD FEDERATION;2
4364;EUROPEAN UNION SATELLITE CENTRE;8
4365;EUROPEAN UNIVERSITY INSTITUTE;12
4366;EUROPEAN VIRTUAL INSTITUTE FOR INTEGRATED RISK MANAGEMENT EU VRI EWIV;4
4367;European Virtual Institute on Knowledge-based Multifunctional Materials AISBL;1
4368;EUROPEAN WATER SUPPLY AND SANITATION TECHNOLOGY PLATFORM;4
4369;EUROPEAN X-RAY FREE-ELECTRON LASER FACILITY GMBH;3
